batch_id,drug_name,region,facility_type,manufacture_date,expiry_date,shelf_life_months,arrival_date,days_to_expiry_on_arrival,initial_quantity,avg_daily_consumption,demand_forecast_30d,season_on_arrival,disease_season_flag,quantity_remaining_30d_before_expiry,quantity_wasted,expired_unused,redistribution_done,redistribution_region
BATCH_TN_2024_0036,Artemether,Chennai,Pharmacy,2024-08-12,2026-08-02,24,2024-10-22,649,1493,1.19,35,Northeast Monsoon,0,764,341,0,0,
BATCH_TN_2024_0037,Ondansetron,Coimbatore,Government Hospital,2024-11-22,2026-11-12,24,2025-02-07,643,4944,7.33,220,Winter,0,19,3,0,0,
BATCH_TN_2024_0038,Omeprazole,Coimbatore,Private Hospital,2024-04-03,2026-03-24,24,2024-04-29,694,3288,2.94,88,Pre-monsoon,0,1234,426,0,0,
BATCH_TN_2023_0039,Metformin,Madurai,Primary Health Centre,2023-01-08,2025-12-23,36,2023-02-02,1055,371,0.5,15,Winter,0,0,0,0,0,
BATCH_TN_2023_0040,Paracetamol,Coimbatore,Primary Health Centre,2023-07-09,2026-06-23,36,2023-07-26,1063,743,0.68,20,Southwest Monsoon,0,72,10,0,0,
BATCH_TN_2024_0041,Amlodipine,Coimbatore,Pharmacy,2024-04-20,2027-04-05,36,2024-05-12,1058,223,0.5,15,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2023_0042,Amoxicillin,Trichy,Government Hospital,2023-07-25,2025-07-14,24,2023-09-05,678,3003,3.45,103,Southwest Monsoon,0,1077,9,0,1,Coimbatore
BATCH_TN_2023_0043,Paracetamol,Coimbatore,Private Hospital,2023-09-23,2026-09-07,36,2023-11-12,1030,2129,2.63,79,Northeast Monsoon,1,0,0,0,0,
BATCH_TN_2024_0044,Metformin,Tirunelveli,Pharmacy,2024-08-10,2027-07-26,36,2024-10-16,1013,1485,1.43,43,Northeast Monsoon,1,0,0,0,0,
BATCH_TN_2024_0045,Artemether,Tirunelveli,Pharmacy,2024-01-17,2026-01-06,24,2024-04-16,630,1711,1.12,33,Pre-monsoon,0,1097,507,0,0,
BATCH_TN_2024_0046,Ciprofloxacin,Chennai,Private Hospital,2024-03-26,2026-03-16,24,2024-04-14,701,2869,2.63,78,Pre-monsoon,0,1274,453,0,0,
BATCH_TN_2024_0047,Amoxicillin,Erode,Government Hospital,2024-04-17,2026-04-07,24,2024-05-15,692,2007,3.27,98,Pre-monsoon,0,155,21,0,0,
BATCH_TN_2023_0048,Omeprazole,Thoothukudi,Pharmacy,2023-08-25,2025-08-14,24,2023-11-11,642,1763,3.17,95,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2023_0049,Ibuprofen,Tirunelveli,Primary Health Centre,2023-04-15,2026-03-30,36,2023-06-19,1015,188,0.5,15,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0050,Insulin,Kanchipuram,Government Hospital,2024-11-02,2025-10-28,12,2024-12-01,331,4542,16.87,506,Northeast Monsoon,0,168,33,0,0,
BATCH_TN_2024_0051,Amoxicillin,Trichy,Government Hospital,2024-07-25,2026-07-15,24,2024-10-19,634,4525,9.38,281,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2024_0052,Paracetamol,Tirunelveli,Primary Health Centre,2024-01-19,2027-01-03,36,2024-03-10,1029,782,0.73,21,Pre-monsoon,0,71,12,0,0,
BATCH_TN_2023_0053,Paracetamol,Erode,Government Hospital,2023-01-30,2026-01-14,36,2023-02-15,1064,1482,1.08,32,Winter,1,526,9,0,1,Kanchipuram
BATCH_TN_2023_0054,Amlodipine,Erode,Primary Health Centre,2023-02-03,2026-01-18,36,2023-03-05,1050,759,0.5,15,Pre-monsoon,0,265,106,0,0,
BATCH_TN_2023_0055,Amlodipine,Coimbatore,Primary Health Centre,2023-02-15,2026-01-30,36,2023-03-29,1038,655,0.64,19,Pre-monsoon,0,86,11,0,0,
BATCH_TN_2023_0056,Amlodipine,Tirunelveli,Pharmacy,2023-10-17,2026-10-01,36,2023-11-15,1051,1215,0.5,15,Northeast Monsoon,0,727,293,0,0,
BATCH_TN_2024_0057,Amoxicillin,Erode,Pharmacy,2024-03-19,2026-03-09,24,2024-06-03,644,555,0.5,15,Southwest Monsoon,0,274,114,0,0,
BATCH_TN_2024_0058,Omeprazole,Salem,Pharmacy,2024-10-02,2026-09-22,24,2024-12-08,653,408,0.67,20,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2024_0059,Amlodipine,Salem,Government Hospital,2024-09-25,2027-09-10,36,2024-12-14,1000,5187,3.92,117,Northeast Monsoon,0,1153,298,0,0,
BATCH_TN_2024_0060,Ciprofloxacin,Salem,Pharmacy,2024-02-17,2026-02-06,24,2024-03-07,701,242,0.5,15,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2023_0061,Paracetamol,Madurai,Primary Health Centre,2023-07-14,2026-06-28,36,2023-09-11,1021,738,0.68,20,Southwest Monsoon,0,33,4,0,0,
BATCH_TN_2024_0062,Metformin,Thoothukudi,Pharmacy,2024-02-28,2027-02-12,36,2024-05-27,991,215,0.5,15,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2023_0063,Ondansetron,Trichy,Primary Health Centre,2023-11-07,2025-10-27,24,2023-11-23,704,678,1.15,34,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2024_0064,Metformin,Chennai,Primary Health Centre,2024-12-29,2027-12-14,36,2025-01-29,1049,222,0.5,15,Winter,0,0,0,0,0,
BATCH_TN_2023_0065,Chloroquine,Tirunelveli,Primary Health Centre,2023-06-01,2028-05-05,60,2023-07-15,1756,129,0.5,15,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2023_0066,Amoxicillin,Salem,Primary Health Centre,2023-06-26,2025-06-15,24,2023-09-22,632,551,0.5,15,Southwest Monsoon,0,206,84,0,0,
BATCH_TN_2023_0067,Metformin,Coimbatore,Pharmacy,2023-11-03,2026-10-18,36,2024-01-26,996,1666,1.44,43,Winter,0,195,32,0,0,
BATCH_TN_2023_0068,Metformin,Thoothukudi,Primary Health Centre,2023-03-12,2026-02-24,36,2023-05-13,1018,730,0.5,15,Pre-monsoon,0,244,13,0,1,Coimbatore
BATCH_TN_2023_0069,Ciprofloxacin,Kanchipuram,Government Hospital,2023-04-23,2025-04-12,24,2023-05-27,686,2045,3.64,109,Pre-monsoon,1,0,0,0,0,
BATCH_TN_2023_0070,Omeprazole,Tirunelveli,Primary Health Centre,2023-03-04,2025-02-21,24,2023-05-08,655,253,0.5,15,Pre-monsoon,1,0,0,0,0,
BATCH_TN_2023_0071,Ciprofloxacin,Kanchipuram,Primary Health Centre,2023-11-19,2025-11-08,24,2024-02-16,631,119,0.5,15,Winter,0,0,0,0,0,
BATCH_TN_2023_0072,Ibuprofen,Madurai,Primary Health Centre,2023-04-05,2026-03-20,36,2023-06-28,996,555,0.78,23,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2023_0073,Paracetamol,Vellore,Primary Health Centre,2023-10-31,2026-10-15,36,2024-01-21,998,264,0.5,15,Winter,1,0,0,0,0,
BATCH_TN_2023_0074,Artemether,Thoothukudi,Pharmacy,2023-12-03,2025-11-22,24,2024-01-16,676,1489,2.93,87,Winter,0,0,0,0,0,
BATCH_TN_2023_0075,Ibuprofen,Erode,Government Hospital,2023-10-22,2026-10-06,36,2023-12-16,1025,1931,0.73,22,Northeast Monsoon,0,1118,592,0,0,
BATCH_TN_2023_0076,Amoxicillin,Vellore,Government Hospital,2023-02-01,2025-01-21,24,2023-03-25,668,3681,3.59,107,Pre-monsoon,0,1590,119,0,1,Chennai
BATCH_TN_2024_0077,Amlodipine,Chennai,Government Hospital,2024-04-30,2027-04-15,36,2024-07-05,1014,7842,10.51,315,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0078,Ondansetron,Madurai,Government Hospital,2024-12-13,2026-12-03,24,2025-03-10,633,4496,4.64,139,Pre-monsoon,0,1439,37,0,1,Kanchipuram
BATCH_TN_2023_0079,Omeprazole,Chennai,Pharmacy,2023-04-09,2025-03-29,24,2023-05-23,676,869,1.76,52,Pre-monsoon,1,0,0,0,0,
BATCH_TN_2024_0080,Chloroquine,Erode,Pharmacy,2024-07-20,2029-06-24,60,2024-09-18,1740,1546,0.96,28,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2023_0081,Amoxicillin,Vellore,Primary Health Centre,2023-09-04,2025-08-24,24,2023-11-03,660,727,1.09,32,Northeast Monsoon,0,58,8,0,0,
BATCH_TN_2023_0082,Salbutamol,Coimbatore,Government Hospital,2023-08-01,2025-07-21,24,2023-08-28,693,4143,5.67,170,Southwest Monsoon,0,616,106,0,0,
BATCH_TN_2024_0083,Artemether,Erode,Private Hospital,2024-09-01,2026-08-22,24,2024-11-20,640,3632,3.02,90,Northeast Monsoon,0,2017,6,0,1,Madurai
BATCH_TN_2024_0084,Ibuprofen,Chennai,Primary Health Centre,2024-02-19,2027-02-03,36,2024-04-15,1024,274,0.5,15,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2023_0085,Metformin,Erode,Government Hospital,2023-05-01,2026-04-15,36,2023-07-13,1007,7464,7.96,238,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0086,Paracetamol,Vellore,Government Hospital,2024-12-27,2027-12-12,36,2025-02-16,1029,5583,2.58,77,Winter,1,2808,912,0,0,
BATCH_TN_2023_0087,Omeprazole,Madurai,Primary Health Centre,2023-08-21,2025-08-10,24,2023-10-07,673,492,0.88,26,Northeast Monsoon,0,0,0,0,0,
BATCH_TN_2024_0088,Salbutamol,Kanchipuram,Primary Health Centre,2024-06-27,2026-06-17,24,2024-08-30,656,203,0.5,15,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0089,Omeprazole,Tirunelveli,Private Hospital,2024-01-17,2026-01-06,24,2024-04-09,637,3628,7.78,233,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2024_0090,Ciprofloxacin,Thoothukudi,Government Hospital,2024-08-02,2026-07-23,24,2024-09-06,685,6581,13.06,391,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0091,Artemether,Chennai,Government Hospital,2024-08-04,2026-07-25,24,2024-09-26,667,1900,3.95,118,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2023_0092,Insulin,Chennai,Pharmacy,2023-08-10,2024-08-04,12,2023-10-14,295,1133,3.51,105,Northeast Monsoon,1,202,6,0,1,Thoothukudi
BATCH_TN_2024_0093,Amoxicillin,Madurai,Private Hospital,2024-07-25,2026-07-15,24,2024-09-11,672,864,0.54,16,Southwest Monsoon,0,473,19,0,1,Tirunelveli
BATCH_TN_2024_0094,Ciprofloxacin,Salem,Government Hospital,2024-04-09,2026-03-30,24,2024-06-10,658,1269,2.68,80,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2024_0095,Amoxicillin,Chennai,Primary Health Centre,2024-12-17,2026-12-07,24,2025-01-11,695,699,1.07,32,Winter,1,48,6,0,0,
BATCH_TN_2024_0096,Salbutamol,Chennai,Primary Health Centre,2024-02-27,2026-02-16,24,2024-04-08,679,131,0.5,15,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2023_0097,Ibuprofen,Tirunelveli,Pharmacy,2023-07-20,2026-07-04,36,2023-10-09,999,740,0.5,15,Northeast Monsoon,0,208,9,0,1,Coimbatore
BATCH_TN_2024_0098,Paracetamol,Trichy,Primary Health Centre,2024-09-17,2027-09-02,36,2024-10-29,1038,382,0.5,15,Northeast Monsoon,1,0,0,0,0,
BATCH_TN_2023_0099,Artemether,Kanchipuram,Pharmacy,2023-02-04,2025-01-24,24,2023-03-30,666,1123,0.67,19,Pre-monsoon,0,730,6,0,1,Coimbatore
BATCH_TN_2023_0100,Artemether,Tirunelveli,Private Hospital,2023-07-20,2025-07-09,24,2023-09-24,654,2260,3.52,105,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2024_0101,Salbutamol,Madurai,Primary Health Centre,2024-02-03,2026-01-23,24,2024-03-15,679,279,0.5,15,Pre-monsoon,0,1,0,0,0,
BATCH_TN_2023_0102,Amoxicillin,Coimbatore,Pharmacy,2023-02-18,2025-02-07,24,2023-05-19,630,231,0.5,15,Pre-monsoon,0,0,0,0,0,
BATCH_TN_2024_0103,Chloroquine,Tirunelveli,Private Hospital,2024-12-29,2029-12-03,60,2025-02-11,1756,1772,0.5,15,Winter,0,1007,43,0,1,Salem
BATCH_TN_2024_0104,Amlodipine,Trichy,Private Hospital,2024-10-09,2027-09-24,36,2024-11-28,1030,3162,2.74,82,Northeast Monsoon,0,33,5,0,0,
BATCH_TN_2023_0105,Ciprofloxacin,Chennai,Government Hospital,2023-10-07,2025-09-26,24,2023-12-21,645,1945,2.65,79,Northeast Monsoon,1,556,31,0,1,Salem
BATCH_TN_2024_0106,Amlodipine,Thoothukudi,Private Hospital,2024-05-28,2027-05-13,36,2024-06-14,1063,2552,3.06,91,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0107,Insulin,Coimbatore,Pharmacy,2024-05-04,2025-04-29,12,2024-06-26,307,1444,3.53,106,Southwest Monsoon,0,324,119,0,0,
BATCH_TN_2023_0108,Omeprazole,Madurai,Private Hospital,2023-12-27,2025-12-16,24,2024-02-26,659,2467,3.57,107,Winter,0,26,4,0,0,
BATCH_TN_2024_0109,Amoxicillin,Kanchipuram,Government Hospital,2024-04-01,2026-03-22,24,2024-04-17,704,6563,4.83,144,Pre-monsoon,0,3669,1581,0,0,
BATCH_TN_2024_0110,Insulin,Tirunelveli,Pharmacy,2024-03-17,2025-03-12,12,2024-05-23,293,803,1.58,47,Pre-monsoon,0,446,182,0,0,
BATCH_TN_2024_0111,Ondansetron,Chennai,Pharmacy,2024-08-12,2026-08-02,24,2024-11-10,630,315,0.5,15,Northeast Monsoon,0,52,2,0,1,Thoothukudi
BATCH_TN_2023_0112,Amlodipine,Thoothukudi,Private Hospital,2023-08-08,2026-07-23,36,2023-09-02,1055,2580,2.27,68,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0113,Amlodipine,Tirunelveli,Government Hospital,2024-11-28,2027-11-13,36,2024-12-22,1056,6821,6.93,207,Northeast Monsoon,0,709,62,0,0,
BATCH_TN_2024_0114,Metformin,Erode,Primary Health Centre,2024-02-08,2027-01-23,36,2024-03-14,1045,637,0.5,15,Pre-monsoon,0,102,29,0,0,
BATCH_TN_2023_0115,Ondansetron,Tirunelveli,Government Hospital,2023-02-18,2025-02-07,24,2023-03-06,704,1791,1.54,46,Pre-monsoon,0,866,6,0,1,Kanchipuram
BATCH_TN_2024_0116,Amoxicillin,Salem,Private Hospital,2024-06-14,2026-06-04,24,2024-07-22,682,3063,4.43,132,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0117,Amoxicillin,Chennai,Pharmacy,2024-08-06,2026-07-27,24,2024-09-15,680,1894,1.83,54,Southwest Monsoon,0,780,53,0,1,Tirunelveli
BATCH_TN_2023_0118,Salbutamol,Vellore,Pharmacy,2023-06-01,2025-05-21,24,2023-06-16,705,235,0.5,15,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2023_0119,Amoxicillin,Erode,Private Hospital,2023-05-06,2025-04-25,24,2023-08-04,630,842,1.18,35,Southwest Monsoon,0,127,21,0,0,
BATCH_TN_2023_0120,Amoxicillin,Kanchipuram,Private Hospital,2023-04-25,2025-04-14,24,2023-05-13,702,658,0.69,20,Pre-monsoon,0,191,12,0,1,Salem
BATCH_TN_2023_0121,Omeprazole,Thoothukudi,Primary Health Centre,2023-08-08,2025-07-28,24,2023-09-02,695,525,0.5,15,Southwest Monsoon,0,163,47,0,0,
BATCH_TN_2024_0122,Insulin,Salem,Private Hospital,2024-10-05,2025-09-30,12,2024-12-28,276,1471,1.97,58,Northeast Monsoon,0,1005,44,0,1,Vellore
BATCH_TN_2023_0123,Salbutamol,Trichy,Pharmacy,2023-10-10,2025-09-29,24,2023-12-15,654,1633,2.93,87,Northeast Monsoon,1,0,0,0,0,
BATCH_TN_2023_0124,Omeprazole,Salem,Government Hospital,2023-04-21,2025-04-10,24,2023-05-22,689,7720,14.17,425,Pre-monsoon,1,0,0,0,0,
BATCH_TN_2023_0125,Paracetamol,Coimbatore,Pharmacy,2023-11-04,2026-10-19,36,2024-01-02,1021,1988,0.6,18,Winter,1,1474,898,0,0,
BATCH_TN_2024_0126,Paracetamol,Thoothukudi,Pharmacy,2024-01-12,2026-12-27,36,2024-01-31,1061,877,1.09,32,Winter,1,0,0,0,0,
BATCH_TN_2023_0127,Amlodipine,Trichy,Pharmacy,2023-06-10,2026-05-25,36,2023-08-30,999,789,0.74,22,Southwest Monsoon,0,54,8,0,0,
BATCH_TN_2023_0128,Ondansetron,Thoothukudi,Government Hospital,2023-12-01,2025-11-20,24,2024-01-29,661,6625,9.39,281,Winter,0,1072,227,0,0,
BATCH_TN_2023_0129,Ibuprofen,Kanchipuram,Private Hospital,2023-01-23,2026-01-07,36,2023-04-21,992,3937,2.22,66,Pre-monsoon,0,1849,871,0,0,
BATCH_TN_2023_0130,Ondansetron,Chennai,Pharmacy,2023-04-01,2025-03-21,24,2023-05-13,678,204,0.5,15,Pre-monsoon,1,0,0,0,0,
BATCH_TN_2024_0131,Salbutamol,Chennai,Government Hospital,2024-12-18,2026-12-08,24,2025-03-14,634,2342,2.89,86,Pre-monsoon,0,626,198,0,0,
BATCH_TN_2024_0132,Ibuprofen,Chennai,Primary Health Centre,2024-08-28,2027-08-13,36,2024-09-21,1056,360,0.5,15,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0133,Amoxicillin,Trichy,Government Hospital,2024-03-26,2026-03-16,24,2024-05-15,670,5254,7.13,213,Pre-monsoon,0,1294,260,0,0,
BATCH_TN_2023_0134,Omeprazole,Coimbatore,Pharmacy,2023-11-04,2025-10-24,24,2023-12-30,664,909,0.91,27,Northeast Monsoon,0,349,11,0,1,Thoothukudi
BATCH_TN_2023_0135,Omeprazole,Tirunelveli,Pharmacy,2023-04-02,2025-03-22,24,2023-06-28,633,748,0.5,15,Southwest Monsoon,1,480,294,0,0,
BATCH_TN_2024_0136,Omeprazole,Salem,Government Hospital,2024-03-15,2026-03-05,24,2024-04-29,675,2935,3.32,99,Pre-monsoon,0,556,139,0,0,
BATCH_TN_2024_0137,Metformin,Madurai,Pharmacy,2024-05-16,2027-05-01,36,2024-08-04,1000,854,0.97,29,Southwest Monsoon,0,24,2,0,0,
BATCH_TN_2023_0138,Artemether,Chennai,Government Hospital,2023-04-18,2025-04-07,24,2023-06-10,667,6438,3.36,100,Southwest Monsoon,1,4012,2355,0,0,
BATCH_TN_2024_0139,Metformin,Salem,Government Hospital,2024-04-03,2027-03-19,36,2024-06-09,1013,1151,1.58,47,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0140,Amlodipine,Chennai,Primary Health Centre,2024-03-26,2027-03-11,36,2024-06-02,1012,237,0.5,15,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0141,Ibuprofen,Trichy,Pharmacy,2024-09-05,2027-08-21,36,2024-11-07,1017,1348,0.5,15,Northeast Monsoon,0,837,410,0,0,
BATCH_TN_2024_0142,Ciprofloxacin,Vellore,Primary Health Centre,2024-05-10,2026-04-30,24,2024-07-05,664,178,0.5,15,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2023_0143,Ondansetron,Thoothukudi,Pharmacy,2023-01-18,2025-01-07,24,2023-02-02,705,252,0.5,15,Winter,0,0,0,0,0,
BATCH_TN_2023_0144,Amlodipine,Coimbatore,Private Hospital,2023-04-10,2026-03-25,36,2023-07-03,996,2311,1.59,47,Southwest Monsoon,0,961,21,0,1,Thoothukudi
BATCH_TN_2024_0145,Amoxicillin,Trichy,Private Hospital,2024-04-16,2026-04-06,24,2024-06-16,659,2530,5.13,154,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2023_0146,Ciprofloxacin,Erode,Government Hospital,2023-03-24,2025-03-13,24,2023-06-09,643,6549,13.83,414,Southwest Monsoon,1,0,0,0,0,
BATCH_TN_2023_0147,Ondansetron,Kanchipuram,Pharmacy,2023-11-11,2025-10-31,24,2024-01-10,660,667,1.14,34,Winter,0,0,0,0,0,
BATCH_TN_2023_0148,Amoxicillin,Coimbatore,Government Hospital,2023-05-26,2025-05-15,24,2023-08-17,637,1047,1.68,50,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0149,Ciprofloxacin,Vellore,Government Hospital,2024-09-10,2026-08-31,24,2024-10-06,694,5049,10.02,300,Northeast Monsoon,1,0,0,0,0,
BATCH_TN_2023_0150,Omeprazole,Madurai,Primary Health Centre,2023-05-24,2025-05-13,24,2023-07-16,667,391,0.67,20,Southwest Monsoon,0,0,0,0,0,
BATCH_TN_2024_0151,Ibuprofen,Salem,Primary Health Centre,2024-11-26,2027-11-11,36,2025-01-29,1016,754,0.5,15,Winter,0,220,96,0,0,
BATCH_TN_2024_0152,Ibuprofen,Madurai,Private Hospital,2024-11-01,2027-10-17,36,2024-12-08,1043,3228,1.57,47,Northeast Monsoon,0,1724,659,0,0,
BATCH_TN_2023_0153,Paracetamol,Chennai,Government Hospital,2023-04-16,2026-03-31,36,2023-06-28,1007,3665,1.31,39,Southwest Monsoon,0,2272,27,0,1,Madurai
