region,lat,lng,drug_name,facility_type,month,year,season,disease_season_flag,population_est,facility_count,disease_prevalence_index,total_quantity_demanded,total_quantity_supplied,supply_gap,demand_per_capita,demand_score
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,5,2023,Pre-monsoon,0,7100000,420,0.249,2769,2597,0.0621,0.00039,0.1131
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,6,2023,Southwest Monsoon,0,7100000,420,0.0568,2910,2547,0.1247,0.00041,0.119
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,8,2023,Southwest Monsoon,0,7100000,420,0.2332,3889,3368,0.134,0.000548,0.1602
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,9,2023,Southwest Monsoon,0,7100000,420,0.0694,3037,3043,0.0,0.000428,0.1244
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,10,2023,Northeast Monsoon,1,7100000,420,0.4155,4609,4224,0.0835,0.000649,0.1904
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,11,2023,Northeast Monsoon,1,7100000,420,0.4975,6155,5959,0.0318,0.000867,0.2554
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,12,2023,Northeast Monsoon,1,7100000,420,0.3,4475,4449,0.0058,0.00063,0.1848
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,1,2024,Winter,1,7100000,420,0.3072,5650,5169,0.0851,0.000796,0.2341
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,2,2024,Winter,1,7100000,420,0.5668,3868,3754,0.0295,0.000545,0.1593
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,3,2024,Pre-monsoon,0,7100000,420,0.3007,2437,2315,0.0501,0.000343,0.0992
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,4,2024,Pre-monsoon,0,7100000,420,0.1593,3133,2787,0.1104,0.000441,0.1284
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,6,2024,Southwest Monsoon,0,7100000,420,0.1675,3122,3159,0.0,0.00044,0.1279
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,7,2024,Southwest Monsoon,0,7100000,420,0.2543,2991,2902,0.0298,0.000421,0.1224
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,8,2024,Southwest Monsoon,0,7100000,420,0.2421,2906,2898,0.0028,0.000409,0.1189
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,10,2024,Northeast Monsoon,1,7100000,420,0.1206,4887,4642,0.0501,0.000688,0.2021
Chennai,13.0827,80.2707,Paracetamol,Private Hospital,12,2024,Northeast Monsoon,1,7100000,420,0.1166,6347,5638,0.1117,0.000894,0.2634
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,1,2023,Winter,1,7100000,420,0.4424,1126,1027,0.0879,0.000159,0.0441
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,2,2023,Winter,1,7100000,420,0.5237,787,794,0.0,0.000111,0.0298
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,3,2023,Pre-monsoon,0,7100000,420,0.066,623,569,0.0867,8.8e-05,0.0229
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,4,2023,Pre-monsoon,0,7100000,420,0.1889,560,570,0.0,7.9e-05,0.0203
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,6,2023,Southwest Monsoon,0,7100000,420,0.2996,649,594,0.0847,9.1e-05,0.024
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,7,2023,Southwest Monsoon,0,7100000,420,0.2588,687,626,0.0888,9.7e-05,0.0256
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,8,2023,Southwest Monsoon,0,7100000,420,0.1666,678,640,0.056,9.5e-05,0.0253
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,9,2023,Southwest Monsoon,0,7100000,420,0.273,520,477,0.0827,7.3e-05,0.0186
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,10,2023,Northeast Monsoon,1,7100000,420,0.509,1021,970,0.05,0.000144,0.0397
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,11,2023,Northeast Monsoon,1,7100000,420,0.1437,1124,1066,0.0516,0.000158,0.044
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,12,2023,Northeast Monsoon,1,7100000,420,0.4282,1227,1182,0.0367,0.000173,0.0483
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,1,2024,Winter,1,7100000,420,0.4805,994,1011,0.0,0.00014,0.0385
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,3,2024,Pre-monsoon,0,7100000,420,0.3098,496,445,0.1028,7e-05,0.0176
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,4,2024,Pre-monsoon,0,7100000,420,0.0937,488,466,0.0451,6.9e-05,0.0173
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,5,2024,Pre-monsoon,0,7100000,420,0.2229,667,605,0.093,9.4e-05,0.0248
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,7,2024,Southwest Monsoon,0,7100000,420,0.0866,588,501,0.148,8.3e-05,0.0215
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,8,2024,Southwest Monsoon,0,7100000,420,0.0646,684,679,0.0073,9.6e-05,0.0255
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,9,2024,Southwest Monsoon,0,7100000,420,0.1824,627,569,0.0925,8.8e-05,0.0231
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,10,2024,Northeast Monsoon,1,7100000,420,0.2366,967,904,0.0651,0.000136,0.0374
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,11,2024,Northeast Monsoon,1,7100000,420,0.5746,1129,1115,0.0124,0.000159,0.0442
Chennai,13.0827,80.2707,Paracetamol,Primary Health Centre,12,2024,Northeast Monsoon,1,7100000,420,0.2175,1318,1240,0.0592,0.000186,0.0521
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,1,2023,Winter,1,7100000,420,0.4461,2887,2908,0.0,0.000407,0.1181
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,2,2023,Winter,1,7100000,420,0.5483,3584,3513,0.0198,0.000505,0.1473
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,3,2023,Pre-monsoon,0,7100000,420,0.3204,979,850,0.1318,0.000138,0.0379
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,4,2023,Pre-monsoon,0,7100000,420,0.1081,1811,1668,0.079,0.000255,0.0729
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,5,2023,Pre-monsoon,0,7100000,420,0.3295,1634,1629,0.0031,0.00023,0.0654
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,6,2023,Southwest Monsoon,0,7100000,420,0.3475,1540,1340,0.1299,0.000217,0.0615
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,7,2023,Southwest Monsoon,0,7100000,420,0.2584,1635,1565,0.0428,0.00023,0.0655
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,8,2023,Southwest Monsoon,0,7100000,420,0.3113,1132,1038,0.083,0.000159,0.0443
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,9,2023,Southwest Monsoon,0,7100000,420,0.0615,1559,1331,0.1462,0.00022,0.0623
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,10,2023,Northeast Monsoon,1,7100000,420,0.4927,3058,2907,0.0494,0.000431,0.1252
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,11,2023,Northeast Monsoon,1,7100000,420,0.2775,3546,3442,0.0293,0.000499,0.1458
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,12,2023,Northeast Monsoon,1,7100000,420,0.2486,2677,2431,0.0919,0.000377,0.1092
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,3,2024,Pre-monsoon,0,7100000,420,0.3279,1834,1572,0.1429,0.000258,0.0738
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,4,2024,Pre-monsoon,0,7100000,420,0.3392,1692,1621,0.042,0.000238,0.0679
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,5,2024,Pre-monsoon,0,7100000,420,0.1513,1484,1414,0.0472,0.000209,0.0591
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,6,2024,Southwest Monsoon,0,7100000,420,0.1023,1737,1601,0.0783,0.000245,0.0697
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,7,2024,Southwest Monsoon,0,7100000,420,0.2552,1636,1420,0.132,0.00023,0.0655
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,8,2024,Southwest Monsoon,0,7100000,420,0.3249,1847,1880,0.0,0.00026,0.0744
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,9,2024,Southwest Monsoon,0,7100000,420,0.2997,1443,1251,0.1331,0.000203,0.0574
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,10,2024,Northeast Monsoon,1,7100000,420,0.5017,2760,2519,0.0873,0.000389,0.1127
Chennai,13.0827,80.2707,Paracetamol,Pharmacy,12,2024,Northeast Monsoon,1,7100000,420,0.4233,2265,2095,0.0751,0.000319,0.0919
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,1,2023,Winter,1,7100000,420,0.5195,10928,10595,0.0305,0.001539,0.4559
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,2,2023,Winter,1,7100000,420,0.1292,11708,10140,0.1339,0.001649,0.4887
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,4,2023,Pre-monsoon,0,7100000,420,0.0952,7202,6211,0.1376,0.001014,0.2994
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,5,2023,Pre-monsoon,0,7100000,420,0.2406,7763,7301,0.0595,0.001093,0.3229
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,6,2023,Southwest Monsoon,0,7100000,420,0.0614,7866,6711,0.1468,0.001108,0.3273
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,7,2023,Southwest Monsoon,0,7100000,420,0.1216,8080,6869,0.1499,0.001138,0.3362
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,8,2023,Southwest Monsoon,0,7100000,420,0.3295,7344,6755,0.0802,0.001034,0.3053
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,10,2023,Northeast Monsoon,0,7100000,420,0.1571,6840,6528,0.0456,0.000963,0.2841
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,11,2023,Northeast Monsoon,0,7100000,420,0.1064,7904,6794,0.1404,0.001113,0.3289
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,12,2023,Northeast Monsoon,1,7100000,420,0.2973,8808,8173,0.0721,0.001241,0.3668
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,1,2024,Winter,1,7100000,420,0.1519,10594,10179,0.0392,0.001492,0.4419
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,2,2024,Winter,1,7100000,420,0.2324,9446,9401,0.0048,0.00133,0.3936
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,4,2024,Pre-monsoon,0,7100000,420,0.1071,7976,7315,0.0829,0.001123,0.3319
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,5,2024,Pre-monsoon,0,7100000,420,0.2458,6884,6108,0.1127,0.00097,0.286
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,6,2024,Southwest Monsoon,0,7100000,420,0.0917,6739,6732,0.001,0.000949,0.2799
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,8,2024,Southwest Monsoon,0,7100000,420,0.2519,7442,6667,0.1041,0.001048,0.3094
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,9,2024,Southwest Monsoon,0,7100000,420,0.1322,7341,6680,0.09,0.001034,0.3052
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,10,2024,Northeast Monsoon,0,7100000,420,0.3073,8864,7859,0.1134,0.001248,0.3692
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,11,2024,Northeast Monsoon,0,7100000,420,0.1844,6384,6134,0.0392,0.000899,0.265
Chennai,13.0827,80.2707,Amoxicillin,Government Hospital,12,2024,Northeast Monsoon,1,7100000,420,0.1759,10369,9573,0.0768,0.00146,0.4324
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,1,2023,Winter,1,7100000,420,0.1336,4899,4324,0.1174,0.00069,0.2026
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,2,2023,Winter,1,7100000,420,0.3831,5840,5273,0.0971,0.000823,0.2421
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,5,2023,Pre-monsoon,0,7100000,420,0.2048,3436,3211,0.0655,0.000484,0.1411
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,6,2023,Southwest Monsoon,0,7100000,420,0.2012,3237,3123,0.0352,0.000456,0.1328
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,7,2023,Southwest Monsoon,0,7100000,420,0.2757,2938,2923,0.0051,0.000414,0.1202
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,8,2023,Southwest Monsoon,0,7100000,420,0.2033,3240,2941,0.0923,0.000456,0.1329
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,9,2023,Southwest Monsoon,0,7100000,420,0.1961,3656,3671,0.0,0.000515,0.1504
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,10,2023,Northeast Monsoon,0,7100000,420,0.1181,2664,2520,0.0541,0.000375,0.1087
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,12,2023,Northeast Monsoon,1,7100000,420,0.3363,4226,3716,0.1207,0.000595,0.1743
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,1,2024,Winter,1,7100000,420,0.1495,5569,4885,0.1228,0.000784,0.2307
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,2,2024,Winter,1,7100000,420,0.4186,3643,3181,0.1268,0.000513,0.1498
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,3,2024,Pre-monsoon,0,7100000,420,0.1858,2884,2684,0.0693,0.000406,0.1179
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,5,2024,Pre-monsoon,0,7100000,420,0.1796,3888,3679,0.0538,0.000548,0.1601
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,7,2024,Southwest Monsoon,0,7100000,420,0.1833,2886,2455,0.1493,0.000406,0.118
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,8,2024,Southwest Monsoon,0,7100000,420,0.2409,4037,3944,0.023,0.000569,0.1664
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,10,2024,Northeast Monsoon,0,7100000,420,0.3,2110,2020,0.0427,0.000297,0.0854
Chennai,13.0827,80.2707,Amoxicillin,Private Hospital,12,2024,Northeast Monsoon,1,7100000,420,0.2638,4367,4201,0.038,0.000615,0.1802
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,2,2023,Winter,1,7100000,420,0.4981,899,830,0.0768,0.000127,0.0345
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,7,2023,Southwest Monsoon,0,7100000,420,0.3426,594,545,0.0825,8.4e-05,0.0217
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,8,2023,Southwest Monsoon,0,7100000,420,0.2976,533,538,0.0,7.5e-05,0.0192
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,9,2023,Southwest Monsoon,0,7100000,420,0.164,692,662,0.0434,9.7e-05,0.0258
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,10,2023,Northeast Monsoon,0,7100000,420,0.2757,455,457,0.0,6.4e-05,0.0159
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,11,2023,Northeast Monsoon,0,7100000,420,0.2001,417,374,0.1031,5.9e-05,0.0143
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,12,2023,Northeast Monsoon,1,7100000,420,0.1714,728,734,0.0,0.000103,0.0274
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,1,2024,Winter,1,7100000,420,0.2322,807,779,0.0347,0.000114,0.0307
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,4,2024,Pre-monsoon,0,7100000,420,0.242,570,515,0.0965,8e-05,0.0207
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,5,2024,Pre-monsoon,0,7100000,420,0.0848,440,395,0.1023,6.2e-05,0.0153
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,6,2024,Southwest Monsoon,0,7100000,420,0.08,659,615,0.0668,9.3e-05,0.0245
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,7,2024,Southwest Monsoon,0,7100000,420,0.247,535,504,0.0579,7.5e-05,0.0192
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,8,2024,Southwest Monsoon,0,7100000,420,0.151,632,610,0.0348,8.9e-05,0.0233
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,10,2024,Northeast Monsoon,0,7100000,420,0.1668,579,496,0.1434,8.2e-05,0.0211
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,11,2024,Northeast Monsoon,0,7100000,420,0.277,588,513,0.1276,8.3e-05,0.0215
Chennai,13.0827,80.2707,Amoxicillin,Primary Health Centre,12,2024,Northeast Monsoon,1,7100000,420,0.1535,867,839,0.0323,0.000122,0.0332
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,1,2023,Winter,1,7100000,420,0.1134,3164,3104,0.019,0.000446,0.1297
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,2,2023,Winter,1,7100000,420,0.2219,3461,3211,0.0722,0.000487,0.1422
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,3,2023,Pre-monsoon,0,7100000,420,0.1907,1980,1871,0.0551,0.000279,0.08
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,4,2023,Pre-monsoon,0,7100000,420,0.1061,2128,1869,0.1217,0.0003,0.0862
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,5,2023,Pre-monsoon,0,7100000,420,0.0997,1898,1617,0.1481,0.000267,0.0765
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,6,2023,Southwest Monsoon,0,7100000,420,0.1993,2339,2189,0.0641,0.000329,0.095
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,7,2023,Southwest Monsoon,0,7100000,420,0.3499,1728,1638,0.0521,0.000243,0.0694
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,8,2023,Southwest Monsoon,0,7100000,420,0.1407,2443,2396,0.0192,0.000344,0.0994
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,9,2023,Southwest Monsoon,0,7100000,420,0.3078,1912,1798,0.0596,0.000269,0.0771
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,11,2023,Northeast Monsoon,0,7100000,420,0.2402,1960,1963,0.0,0.000276,0.0791
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,1,2024,Winter,1,7100000,420,0.4107,3249,3225,0.0074,0.000458,0.1333
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,2,2024,Winter,1,7100000,420,0.221,2603,2338,0.1018,0.000367,0.1061
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,3,2024,Pre-monsoon,0,7100000,420,0.2139,1795,1633,0.0903,0.000253,0.0722
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,4,2024,Pre-monsoon,0,7100000,420,0.3485,1378,1259,0.0864,0.000194,0.0547
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,6,2024,Southwest Monsoon,0,7100000,420,0.0552,1224,1218,0.0049,0.000172,0.0482
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,7,2024,Southwest Monsoon,0,7100000,420,0.1522,1466,1471,0.0,0.000206,0.0584
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,8,2024,Southwest Monsoon,0,7100000,420,0.2779,2143,1857,0.1335,0.000302,0.0868
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,9,2024,Southwest Monsoon,0,7100000,420,0.233,2150,2186,0.0,0.000303,0.0871
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,10,2024,Northeast Monsoon,0,7100000,420,0.0877,2046,1924,0.0596,0.000288,0.0827
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,11,2024,Northeast Monsoon,0,7100000,420,0.0751,1644,1584,0.0365,0.000232,0.0658
Chennai,13.0827,80.2707,Amoxicillin,Pharmacy,12,2024,Northeast Monsoon,1,7100000,420,0.3784,2865,2770,0.0332,0.000404,0.1171
Chennai,13.0827,80.2707,Metformin,Government Hospital,1,2023,Winter,0,7100000,420,0.2097,7922,6880,0.1315,0.001116,0.3296
Chennai,13.0827,80.2707,Metformin,Government Hospital,2,2023,Winter,0,7100000,420,0.2478,9579,9680,0.0,0.001349,0.3992
Chennai,13.0827,80.2707,Metformin,Government Hospital,3,2023,Pre-monsoon,0,7100000,420,0.119,7257,6739,0.0714,0.001022,0.3017
Chennai,13.0827,80.2707,Metformin,Government Hospital,4,2023,Pre-monsoon,0,7100000,420,0.2157,7115,7176,0.0,0.001002,0.2957
Chennai,13.0827,80.2707,Metformin,Government Hospital,5,2023,Pre-monsoon,0,7100000,420,0.3068,7487,7171,0.0422,0.001055,0.3113
Chennai,13.0827,80.2707,Metformin,Government Hospital,6,2023,Southwest Monsoon,0,7100000,420,0.0985,7167,6925,0.0338,0.001009,0.2979
Chennai,13.0827,80.2707,Metformin,Government Hospital,7,2023,Southwest Monsoon,0,7100000,420,0.2893,8410,7915,0.0589,0.001185,0.3501
Chennai,13.0827,80.2707,Metformin,Government Hospital,8,2023,Southwest Monsoon,0,7100000,420,0.1827,5688,5265,0.0744,0.000801,0.2357
Chennai,13.0827,80.2707,Metformin,Government Hospital,11,2023,Northeast Monsoon,1,7100000,420,0.3786,12010,10707,0.1085,0.001692,0.5014
Chennai,13.0827,80.2707,Metformin,Government Hospital,12,2023,Northeast Monsoon,0,7100000,420,0.0808,9435,9445,0.0,0.001329,0.3932
Chennai,13.0827,80.2707,Metformin,Government Hospital,1,2024,Winter,0,7100000,420,0.0605,7391,7430,0.0,0.001041,0.3073
Chennai,13.0827,80.2707,Metformin,Government Hospital,2,2024,Winter,0,7100000,420,0.2629,7318,6970,0.0476,0.001031,0.3042
Chennai,13.0827,80.2707,Metformin,Government Hospital,3,2024,Pre-monsoon,0,7100000,420,0.3337,7587,7400,0.0246,0.001069,0.3155
Chennai,13.0827,80.2707,Metformin,Government Hospital,4,2024,Pre-monsoon,0,7100000,420,0.2979,8817,7844,0.1104,0.001242,0.3672
Chennai,13.0827,80.2707,Metformin,Government Hospital,5,2024,Pre-monsoon,0,7100000,420,0.3315,6464,6140,0.0501,0.00091,0.2684
Chennai,13.0827,80.2707,Metformin,Government Hospital,6,2024,Southwest Monsoon,0,7100000,420,0.2895,7777,6911,0.1114,0.001095,0.3235
Chennai,13.0827,80.2707,Metformin,Government Hospital,7,2024,Southwest Monsoon,0,7100000,420,0.1322,8607,7643,0.112,0.001212,0.3584
Chennai,13.0827,80.2707,Metformin,Government Hospital,8,2024,Southwest Monsoon,0,7100000,420,0.286,8073,7137,0.1159,0.001137,0.336
Chennai,13.0827,80.2707,Metformin,Government Hospital,9,2024,Southwest Monsoon,0,7100000,420,0.3339,7722,6565,0.1498,0.001088,0.3212
Chennai,13.0827,80.2707,Metformin,Government Hospital,10,2024,Northeast Monsoon,1,7100000,420,0.2819,12090,10813,0.1056,0.001703,0.5047
Chennai,13.0827,80.2707,Metformin,Government Hospital,11,2024,Northeast Monsoon,1,7100000,420,0.4129,6249,6294,0.0,0.00088,0.2593
Chennai,13.0827,80.2707,Metformin,Private Hospital,1,2023,Winter,0,7100000,420,0.1263,2660,2291,0.1387,0.000375,0.1085
Chennai,13.0827,80.2707,Metformin,Private Hospital,2,2023,Winter,0,7100000,420,0.176,2139,1834,0.1426,0.000301,0.0866
Chennai,13.0827,80.2707,Metformin,Private Hospital,3,2023,Pre-monsoon,0,7100000,420,0.0617,3176,2817,0.113,0.000447,0.1302
Chennai,13.0827,80.2707,Metformin,Private Hospital,4,2023,Pre-monsoon,0,7100000,420,0.1506,3557,3614,0.0,0.000501,0.1462
